name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
Archaius,"$1,100,000","Jul 11, 2022","Durham, North Carolina, United States, North America","Aerospace, Mapping Services, Navigation","Archaius develops a patented field and phase technology to deliver Assured Positioning, Navigation, and Timing.",Seed,Oval Park Capital,"$1,350,000"
HyPoint,"$1,100,000","Sep 10, 2020","Menlo Park, California, United States, North America","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,Pre-Seed,—,"$5,540,000"
Valorant Health,"$1,098,077","Sep 21, 2022","Berkeley, California, United States, North America","GovTech, Health Care, Home Health Care, Information Technology, mHealth, Military, Software",Next-generation digital health operating system for Rural Care,Seed,—,"$2,693,072"
Sharrow Marine,"$1,068,755","Jan 10, 2024","Detroit, Michigan, United States, North America","Aerospace, Manufacturing, Marine Technology, Mechanical Engineering",Sharrow Marine is a nautical and aeronautical design firm.,Venture - Series Unknown,—,"$31,068,755"
Aquiline Drones,"$1,060,000","Oct 26, 2021","Hartford, Connecticut, United States, North America","Aerospace, Commercial, Drones, Internet of Things","Aquiline Drones is a drone company that offers UAV solutions with equipment, personnel, and cloud infrastructure for commercial operations.",Seed,—,"$1,060,000"
Unmanned Defense Systems,"€1,000,000","Jun 20, 2022","Vilnius, Vilniaus Apskritis, Lithuania, Europe","Aerospace, Military","Unmanned Defense Systems researches, develops, designs, and manufactures tactical military UAV systems.",Pre-Seed,—,"€4,200,000"
Simplesense,"$1,040,300","Jun 13, 2023","Brooklyn, New York, United States, North America","Cyber Security, National Security, Public Safety, Security, Software",Rapidly authorize and deploy proven cybersecurity solutions for Industrial Control Systems (ICS) / Operational Technology (OT),Convertible Note,—,"$1,819,400"
Gravitilab,"£900,000","Sep 1, 2022","Coltishall, Norfolk, United Kingdom, Europe","Aerospace, Mechanical Engineering, Product Research, Quality Assurance, Test and Measurement","Gravitilab is transforming Research, Testing and Qualification in Space providing access to microgravity other Space environments.",Seed,—,"£2,225,000"
Urban Sky,"$1,039,149","Sep 24, 2020","Denver, Colorado, United States, North America","Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities",Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,Seed,"New Stack Ventures, TenOneTen Ventures","$15,963,834"
Asteroid Mining Corporation Ltd,"$1,019,000","May 4, 2022","Liverpool, Liverpool, United Kingdom, Europe","Aerospace, Mining, Mining Technology, Satellite Communication, Space Travel",Asteroid Mining Corporation is a young aerospace start-up company on a mission to exploit the potential of an off-Earth commercial market.,Seed,E2IN2,"$1,019,000"
Inertial Labs,"$1,000,768","Aug 13, 2020","Paeonian Springs, Virginia, United States, North America","Aerospace, Autonomous Vehicles, Electronics, Geospatial, GPS, Manufacturing, Military, Navigation","Inertial Labs is supplies Inertial Navigation Systems, Orientation Systems, Motion Capture and Military Training Systems.",Venture - Series Unknown,—,"$17,700,768"
Airspace Link,"$1,000,020","Jun 21, 2019","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Pre-Seed,2048 Ventures,"$41,000,070"
WingWork,"$1,000,000","Mar 15, 2023","Bellevue, Washington, United States, North America","Aerospace, Enterprise Software, SaaS",WingWork SaaS platform streamlines fleet management and maintenance tracking for private aviation.,Pre-Seed,—,"$4,250,000"
Aiken Farrell Kroloff,"$1,000,000","Sep 15, 2023","Phoenix, Arizona, United States, North America","Law Enforcement, Legal",Aiken Farrell Kroloff is a law firm.,Seed,—,"$1,000,000"
Datum Source,"$1,000,000","Dec 21, 2021","Costa Mesa, California, United States, North America","Aerospace, Industrial Automation, Logistics, Manufacturing, Online Portals, Supply Chain Management",Datum Source is a technology company that offers a manufacturing part sourcing platform where buyer and seller can interact.,Pre-Seed,DWP Capital,"$1,000,000"
Volant Autonomy,"$1,000,000","Aug 1, 2021","Bath, Bath and North East Somerset, United Kingdom, Europe","Aerospace, Autonomous Vehicles",Volant Autonomy creates autonomous flight guidance systems for the next generation of air mobility.,Pre-Seed,"7percent Ventures, Creator Fund","$3,930,435"
In Orbit Aerospace,"$1,000,000","Apr 28, 2022","Torrance, California, United States, North America","Aerospace, Logistics, Manufacturing, Transportation",In Orbit Aerospace is building the infrastructure to support mass manufacturing in space.,Pre-Seed,—,"$2,000,000"
Karman+,"$1,000,000","Jan 1, 2022","Denver, Colorado, United States, North America","Aerospace, Robotics","We want to mine space resources from near-Earth asteroids to provide abundant, sustainable energy and resources in space and for Earth.",Pre-Seed,—,"$26,000,000"
Monarc Holdings,"$1,000,000","Jun 15, 2021","Rochester, New York, United States, North America","Advanced Materials, Information Technology, National Security, Public Safety","Monarc Holdings focuses on the growth of innovative ideas and technologies that protect people, places, and things.",Seed,—,"$4,700,000"
Lunasonde,"$1,000,000","Jun 23, 2021","Cortaro, Arizona, United States, North America","Aerospace, Service Industry",Lunasonde Provides Aviation And Aerospace Component Manufacturing Services.,Venture - Series Unknown,—,"$11,600,000"
In Orbit Aerospace,"$1,000,000","Feb 14, 2023","Torrance, California, United States, North America","Aerospace, Logistics, Manufacturing, Transportation",In Orbit Aerospace is building the infrastructure to support mass manufacturing in space.,Seed,Asymmetry Ventures,"$2,000,000"
Dronehub,"$1,000,000","Aug 28, 2020","Syracuse, New York, United States, North America","Aerospace, Drone Management, Drones, Hardware, Industrial Automation",Drone-agnostic Charging Docks | Autonomous Inspection Drones,Angel,—,"$7,500,000"
Undefined Technologies,"$1,000,000","Jun 8, 2021","Doral, Florida, United States, North America","Aerospace, Drone Management, Drones",Undefined Technologies is a developer of a silent cargo drone powered by ion propulsion.,Seed,—,"$1,000,000"
ATLAS Space Operations,"$1,000,000","Apr 1, 2021","Traverse City, Michigan, United States, North America","Aerospace, Enterprise Software, Telecommunications","ATLAS Space Operations is the Satellite Communications as a Service Getting Your Data, Faster",Convertible Note,Harmonix Fund,"$37,000,000"
Additive Rocket Corporation,"$1,000,000","May 16, 2019","San Diego, California, United States, North America","Aerospace, Manufacturing",ARC leverages advanced simulation & metal printing to create highly optimized propulsion systems for the space/defense industries.,Seed,—,"$1,470,000"
Skyway,"$1,000,000","Aug 1, 2021","San Rafael, California, United States, North America","Aerospace, Air Transportation, Drone Management, Information Technology, Navigation, Software",Skyway provides ATC & airfield infrastructure for vertiports to support eVTOL aircraft.,Pre-Seed,—,"$3,400,000"
Hera Systems,"$1,000,000","Aug 7, 2019","San Jose, California, United States, North America","Aerospace, Analytics, Communications Infrastructure, Geospatial, Satellite Communication",Hera Systems is a satellite information and analytics company that collects images of the Earth.,Series C,—,"$5,200,000"
Adranos Energetics,"$1,000,000","Feb 11, 2020","Lafayette, Indiana, United States, North America","Aerospace, Industrial, Military","Adranos Energetics develops propellants, explosives, and other energetic materials for use in space and military platforms.",Venture - Series Unknown,Archibald Cox,"$32,890,000"
INTERSTELLAR LAB,"$1,000,000","Dec 21, 2020","Dover, Delaware, United States, North America","Aerospace, AgTech, Biotechnology, Farming, Natural Resources","Interstellar Lab designs, manufactures and operates biofarming platform to unleash the power of plants. On Earth and in Space.",Pre-Seed,—,"$8,200,000"
Osavul,"$1,000,000","May 3, 2023","Kyiv, Kyyiv, Ukraine, Europe","Artificial Intelligence (AI), B2B, Big Data, Cyber Security, Machine Learning, National Security, Natural Language Processing, Software",AI-based software to protect from information threats,Seed,SMRK VC Fund,"$1,000,000"
Velontra,"$1,000,000","Jun 23, 2021","Cincinnati, Ohio, United States, North America","Aerospace, Air Transportation, Military",Velontra provides hypersonic weapon technologies and attributable aerospace solutions.,Pre-Seed,—,"$1,000,000"
Entegrata,"$1,000,000","Mar 15, 2023","Indianapolis, Indiana, United States, North America","Data Integration, Law Enforcement, Legal Tech, Software",Entegrata is a legal tech company that allows firms to centralize all of their data safely and securely.,Seed,—,"$1,000,000"
Psionic,"$1,000,000","Nov 29, 2021","Hampton, Virginia, United States, North America","Aerospace, Automotive, Information Technology, Software",Psionic is a technology company that develops lidar technology for autonomous space vehicles.,Venture - Series Unknown,—,"$2,650,000"
CYBERA,"$1,000,000","Jan 1, 2021","New York, New York, United States, North America","Banking, Business Intelligence, Cryptocurrency, Cyber Security, Law Enforcement",We close gaps that allow cyber criminals to thrive by sharing actionable information in real-time.,Pre-Seed,—,"$5,000,000"
AlphacomSolution,"$1,000,000","Mar 31, 2024","Liège, Liege, Belgium, Europe","Air Transportation, Artificial Intelligence (AI), Banking, Energy, National Security, Public Safety, Security, Space Travel, Transportation, Unified Communications","We Build Your Own Cloud Paas/Saas Critical Communication Ecosystem. You Decide to Value Your Community: trading energy,security, transport",Seed,—,"$1,200,000"
ProvenAir Technologies,"$1,000,000","Jul 1, 2021","Chicago, Illinois, United States, North America","Aerospace, Artificial Intelligence (AI), Information Technology",ProvenAir Technologies is a provider of AI and cloud-based maintenance solutions for aerospace assets.,Pre-Seed,—,"$1,000,000"
Orbital Assembly,"$995,000","Jan 28, 2021","Huntsville, Alabama, United States, North America",Aerospace,Orbital Assembly Corporation is the worlds first large scale space construction company.,Equity Crowdfunding,—,"$2,320,750"
Drone Express,"$965,000","Mar 20, 2022","Dayton, Ohio, United States, North America","Aerospace, Delivery Service, Drones",Drone Express is a full-service logistics company that uses airborne autonomous drones for local package delivery.,Seed,Venture 53,"$7,751,500"
Starfighters Space,"$945,000","Jul 21, 2023","Cape Canaveral, Florida, United States, North America","Aerospace, Air Transportation, Space Travel",Starfighters Space launches commercial space activities.,Seed,—,"$7,271,100"
ReOrbit,"€789,000","Jul 27, 2020","Helsinki, Southern Finland, Finland, Europe","Aerospace, Satellite Communication, Space Travel",Redefine. Reuse. Reorbit.,Pre-Seed,—,"€7,589,000"
FOSSA Systems,"€765,000","Dec 1, 2020","Madrid, Madrid, Spain, Europe","Aerospace, Communications Infrastructure, Electronics, Satellite Communication",Global Cost-Effective Satellite IoT for Industrial Applications. First to deploy disruptive interoperable constellation.,Seed,"NewMind Venture, WISeKey","€765,000"
Hypr Space (Hybrid Propulsion for Space),"€850,000","Dec 31, 2022","Bordeaux, Aquitaine, France, Europe","Aerospace, Space Travel","We develop nextgen propulsion technologies, cheaper, quicker and greener for earth to space and space to space transportation systems.",Seed,NACO,"€4,350,000"
Latitude,"€750,000","Dec 10, 2020","Reims, Champagne-Ardenne, France, Europe","Aerospace, Space Travel","Latitude, formerly known as Venture Orbital Systems, is a space technology company that offers launch solution for smallsats",Pre-Seed,UI Investissement,"€37,850,000"
Fregata Space,"€800,000","Jan 1, 2022","Barcelona, Catalonia, Spain, Europe","Aerospace, Analytics, Artificial Intelligence (AI), Cloud Computing, Enterprise Software, Geospatial, Government, Mapping Services, Predictive Analytics, Software",Earth observation platform to discover pollutants in air and water in real time anywhere in the world.,Seed,—,"€800,000"
Mission Space,"€800,000","Dec 11, 2021","Luxembourg, Luxembourg, Luxembourg, Europe","Aerospace, Information Services, Software",Space weather data analytics company,Pre-Seed,—,"€1,050,000"
Panhwar Jet,"$905,000","Aug 3, 2021","Woods Cross, Utah, United States, North America","Aerospace, Air Transportation, Electric Vehicle","Panhwar Jet is developing the world’s first all-electric, long-range business and cargo aircraft, which can fly up to 6 hours.",Seed,Valkyrie GRP,"$1,180,000"
AVIAA,"$900,000","Jul 7, 2020","Irvine, California, United States, North America","Aerospace, Big Data, Procurement, Supply Chain Management, Transportation, Travel","AVIAA is building a community around business aviation procurement through transparency, committed volume, and aggregated buying power.",Seed,—,"$3,900,000"
Solestial,"$900,000","Sep 30, 2021","Tempe, Arizona, United States, North America","Aerospace, National Security, Renewable Energy, Solar, Space Travel","Solestial, Inc. is the solar energy company for space.",Pre-Seed,Jackson Moses,"$13,094,529"
ActionStreamer,"$900,000","May 9, 2019","Cincinnati, Ohio, United States, North America","Broadcasting, Digital Media, Military, Software, Sports","Wearable data streaming platform delivering breakthrough solutions across sports, entertainment, telecommunications, industrial, defense",Seed,CincyTech,"$5,980,000"
TransAstra,"$900,000","Dec 19, 2019","Los Angeles, California, United States, North America","Aerospace, Industrial, Software, Space Travel","TransAstra develops a technology to find, prospect, harvest and use space resources.",Pre-Seed,—,"$6,900,000"
bluShift Aerospace,"$887,642","Apr 16, 2021","Brunswick, Maine, United States, North America","Aerospace, CleanTech, Space Travel",bluShift is a small space launch service that powers it rockets using a CO2-neutral biofuel,Equity Crowdfunding,—,"$3,504,320"
Katalyst Space Technologies,"$880,635","May 7, 2024","Prescott, Arizona, United States, North America","Aerospace, Industrial, Space Travel","Katalyst Space Technologies revolutionizes satellite operations, space logistics, hardware, and mission design.",Seed,—,"$880,635"
Pipeline2Space,"$880,000","Aug 8, 2022","Spokane, Washington, United States, North America","Aerospace, Information Technology, Space Travel",Pipeline2space uses RAM-Accelerator technology to radically change the economics of space exploration.,Venture - Series Unknown,—,"$1,186,488"
Phantom Space,"$875,000","Sep 11, 2020","Tucson, Arizona, United States, North America","Aerospace, Space Travel, Transportation","Phantom Space focuses on space transportation technology including satellites, propulsion, and launch vehicles.",Seed,—,"$27,655,605"
iCOMAT,"£650,000","Dec 7, 2020","Bristol, Bristol, City of, United Kingdom, Europe","Advanced Materials, Aerospace, Automotive, Logistics, Manufacturing, Robotics, Space Travel, Transportation",Revolutionary production equipment for the manufacturing of advanced carbon fibre composite parts.,Seed,Velocity.Partners,"£2,650,000"
Starfighters Space,"$860,100","Nov 18, 2022","Cape Canaveral, Florida, United States, North America","Aerospace, Air Transportation, Space Travel",Starfighters Space launches commercial space activities.,Seed,—,"$7,271,100"
The Exclosure,"$850,000","Jan 18, 2022","San Francisco, California, United States, North America","Aerospace, Analytics, Data Mining",The Exclosure operates a space data center to provide space data to organizations.,Pre-Seed,—,"$850,000"
Skyports,"£650,000","Mar 9, 2020","London, England, United Kingdom, Europe","Aerospace, Drone Management, Transportation, Travel",Skyports provides urban air mobility infrastructure and manages end-to-end drone delivery services.,Series A,Irelandia Aviation,"$143,581,347"
KinectAir,"$848,850","Jan 15, 2022","Vancouver, Washington, United States, North America","Aerospace, Air Transportation, Software, Travel",KinectAir is opening the skies. Enabling affordable privately-owned aircraft to be booked from smartphones using local community airports.,Pre-Seed,—,"$2,443,463"
Rosotics,"$848,000","Jul 6, 2023","Mesa, Arizona, United States, North America","3D Printing, Aerospace, Industrial Automation, Industrial Manufacturing, Manufacturing","Rosotics produces the largest metal 3D printers in the world for air, sea, and defense.",Pre-Seed,H.E.N.R.Y Collective Ventures,"$1,684,500"
FlightLink,"$800,000","Dec 23, 2019","Denver, Colorado, United States, North America","Aerospace, Air Transportation, Travel",FlightLink is an aviation membership platform providing private aviation solutions across private and commercial air travel.,Seed,—,"$800,000"
ActionStreamer,"$800,000","Jan 31, 2021","Cincinnati, Ohio, United States, North America","Broadcasting, Digital Media, Military, Software, Sports","Wearable data streaming platform delivering breakthrough solutions across sports, entertainment, telecommunications, industrial, defense",Seed,CincyTech,"$5,980,000"
TechnoCarbon,"€800,000","Sep 15, 2022","Paris, Ile-de-France, France, Europe","Aerospace, Clean Energy, CleanTech, Construction, GreenTech, Industrial Design, Manufacturing, Marine Technology",TechnoCarbon is a cleantech SAS company.,Seed,Sowefund,"$1,579,696"
Elucd,"$775,000","Jul 1, 2019","New York, New York, United States, North America","GovTech, Law Enforcement, Predictive Analytics, Real Time, Smart Cities",Elucd enables cities to understand the realtime pulse of their residents priorities.,Seed,—,"$1,895,000"
Evolve Dynamics,"£600,000","Feb 27, 2020","Guildford, Surrey, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Computer Vision, Drones, Innovation Management, Machine Learning","UAV innovations company, working on computer vision, AI autopilot systems, long flight solutions and rapid ready-to-fly/deploy platforms.",Seed,Cass Entrepreneurship Fund,"£600,000"
LawBite,"£623,980","Apr 1, 2020","London, England, United Kingdom, Europe","Advice, Law Enforcement, Legal, Online Portals","LawBite is an online law firm. They take SME's from Idea to Ideal as they start, grow and succeed with affordable, fast access to the law.",Equity Crowdfunding,—,"£1,190,240"
"Hex Five Security, Inc.","$770,000","Feb 8, 2019","Redwood City, California, United States, North America","Aerospace, Developer Tools, Internet, Internet of Things, Mobile, Security, Semiconductor, Software, Telecommunications, Wearables","Hex Five is the creator of MultiZone® Security, the quick and safe way to build high-grade security firmware for embedded systems.",Seed,OSS Capital L.P.,"$770,000"
Interorbital Systems,"$750,000","Jan 9, 2024","Mojave, California, United States, North America","Aerospace, Manufacturing","Interorbital Systems is a rocket, satellite, and spacecraft manufacturing company.",Venture - Series Unknown,—,"$750,000"
Disruptive Industries™,"$750,000","Aug 1, 2023","London, England, United Kingdom, Europe","Commercial Insurance, Cyber Security, Government, Homeland Security, Information Technology, Insurance, InsurTech, Military, National Security",Disruptive Industries (DI) is a technology company that builds threat detection systems.,Pre-Seed,Expeditions Fund,"$750,000"
Alpine Advanced Materials,"$750,000","Jun 20, 2023","Dallas, Texas, United States, North America","Aerospace, Manufacturing, Military, Nanotechnology",Alpine Advanced Materials specializes in best-in-class lightweight and affordable structural thermoplastic nanocomposites.,Venture - Series Unknown,—,"$3,750,000"
Skylark Labs,"$750,000","Feb 22, 2023","Palo Alto, California, United States, North America","Artificial Intelligence (AI), Computer Vision, Machine Learning, National Security, Physical Security, Security",Skylark Labs develops Dual-Use Self-Learning AI that provides analytics to strengthen National Security.,Seed,—,"$3,510,000"
Gravis Law,"$750,000","Jul 15, 2019","Richland, Washington, United States, North America","Law Enforcement, Legal, Local","Gravis Law is a legal consulting company that specializes in the fields of the startup, business, compliance, and entity formation.",Seed,—,"$750,000"
Algotive,"$750,000","Jan 22, 2019","San Diego, California, United States, North America","Artificial Intelligence (AI), Government, Internet of Things, Law Enforcement, Machine Learning, Public Safety, Security, Software",Leading the Global Transition to AI-enabled Productivity,Pre-Seed,—,"$4,000,000"
Rosotics,"$750,000","Aug 12, 2022","Mesa, Arizona, United States, North America","3D Printing, Aerospace, Industrial Automation, Industrial Manufacturing, Manufacturing","Rosotics produces the largest metal 3D printers in the world for air, sea, and defense.",Pre-Seed,Draper Associates,"$1,684,500"
AeroSys,"$750,000","Sep 1, 2021","Osnabrück, Niedersachsen, Germany, Europe","Aerospace, Human Computer Interaction","AeroSys develops ""Goose"", the world's first certified digital co-pilot. A system others have yet to imagine.",Seed,—,"$750,000"
LifeSpot,"$749,998","Jun 20, 2023","Parker, Colorado, United States, North America","Information Technology, Law Enforcement, Mobile Apps","LifeSpot is an application that provides safety plans and protection services for schools, colleges, corporate, and enterprise campuses.",Venture - Series Unknown,—,"$749,998"
NUTS Technologies Inc.,"$730,000","Jan 1, 2022","Glencoe, Illinois, United States, North America","Cyber Security, Government, Information Technology, IT Infrastructure, Military",Prevent Insider Threats: Protect National Security,Seed,—,"$3,280,000"
Starfighters Space,"$726,000","Mar 9, 2023","Cape Canaveral, Florida, United States, North America","Aerospace, Air Transportation, Space Travel",Starfighters Space launches commercial space activities.,Seed,—,"$7,271,100"
Gravitilab,"£550,000","Apr 1, 2022","Coltishall, Norfolk, United Kingdom, Europe","Aerospace, Mechanical Engineering, Product Research, Quality Assurance, Test and Measurement","Gravitilab is transforming Research, Testing and Qualification in Space providing access to microgravity other Space environments.",Pre-Seed,—,"£2,225,000"
Enduralock,"$701,416","Dec 20, 2023","Lenexa, Kansas, United States, North America","Aerospace, Manufacturing, Oil and Gas","Enduralock offers the first permanently locking, high vibration resistant fasteners that are reversible and reusable with standard tooling.",Venture - Series Unknown,—,"$3,359,988"
Mako Aerospace,"$700,000","May 5, 2022","Glasgow, Glasgow City, United Kingdom, Europe",Aerospace,Mako Aerospace is an electric aerospace company.,Pre-Seed,Cantos,"$700,000"
M Aerospace RTC,"$697,658","Nov 2, 2022","Austin, Texas, United States, North America","3D Printing, Aerospace, Mechanical Design",M Aerospace RTC is an aerospace company that focuses on the next generation of large scale metal 3D printers.,Seed,—,"$948,622"
Flare Bright,"£500,000","Feb 1, 2021","Westcott, Buckinghamshire, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Machine Learning","Flare Bright builds all types of unmanned aircraft and uses integrated machine learning to solve sensing, navigation, control, and problems.",Seed,"Britbots, Highland Venture Capital","£500,000"
Pixxel,"$680,000","Jul 12, 2019","El Segundo, California, United States, North America","Aerospace, Geospatial, Information Technology, Satellite Communication",Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Pre-Seed,"growX ventures, Techstars","$70,980,000"
AireXpert,"$670,012","Dec 20, 2019","Buffalo, New York, United States, North America","Aerospace, Air Transportation, Software",AireXpert is a collaboration & decision support SaaS platform built for technical stakeholders across aerospace & aviation supply chains,Pre-Seed,—,"$5,170,012"
CisLunar Industries,"$665,000","Jul 7, 2022","Denver, Colorado, United States, North America","Aerospace, Space Travel",CisLunar Industries is developing the technology to process metal in space,Pre-Seed,—,"$3,539,991"
Drone Defence,"£500,000","Aug 18, 2020","London, England, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Drone Management, Electronics, Government, Privacy, Robotics, Security, Software",Delivering Smart Secured Airspace to enable drones to be used resonsilbly and safely.,Seed,—,"$1,714,847"
Suppeco,"£500,000","May 1, 2019","London, England, United Kingdom, Europe","Aerospace, Construction, Electronics, Information Technology, SaaS, Software",Suppeco is a cloud-native SaaS platform that leverages customer-supplier relationships to drive adaptability and resilience.,Seed,Bhavik Bajaj,"£500,000"
HyPoint,"$650,000","May 1, 2020","Menlo Park, California, United States, North America","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,Pre-Seed,—,"$5,540,000"
Zenith Aerospace,"$650,000","May 8, 2020","Palo Alto, California, United States, North America",Aerospace,Zenith Aerospace provides live 24/7 global asset monitoring solutions through a fleet of high altitude solar unmanned aircraft.,Seed,—,"$10,925,000"
Aquarian Space,"$650,000","Mar 17, 2022","Boulder, Colorado, United States, North America","Aerospace, Communications Infrastructure, Satellite Communication",Aquarian Space is a developer of a communication network for interplanetary exploration.,Seed,Draper Associates,"$760,000"
AM Craft,"€600,000","May 15, 2024","Riga, Riga, Latvia, Europe","Aerospace, Manufacturing","AM Craft designs, manufactures, and delivers 3D-printed, small-batch airplane interior components.",Pre-Seed,Change Ventures,"€600,000"
Aerial Vantage,"$624,750","Feb 14, 2022","East Lansing, Michigan, United States, North America","Aerospace, Agriculture, AgTech, Analytics, Drones, Geospatial, Intelligent Systems, SaaS, Software",Aerial Vantage is an artificial intelligence and computer vision software company focused on the agricultural supply chain and government.,Seed,—,"$874,750"
"Circle Optics, Inc.","$621,000","Dec 22, 2020","Rochester, New York, United States, North America","GovTech, Hardware, Military, National Security, Virtual Reality, Virtualization","Circle Optics, Inc. provides camera's.",Seed,—,"$5,421,499"
ClearSpace,"CHF615,000","Apr 15, 2019","Renens, Vaud, Switzerland, Europe","Aerospace, Satellite Communication, Space Travel",On-orbit services to enable a thriving New Space economy.,Pre-Seed,—,"$33,966,134"
Accrete AI,"$600,005","Apr 19, 2024","New York, New York, United States, North America","Artificial Intelligence (AI), Government, Military, Software","Dual Use AI for defense, Intelligence and cybersecurity.",Venture - Series Unknown,—,"$29,950,000"
SkyThread,"$600,000","Oct 1, 2021","Irvine, California, United States, North America","Aerospace, Information Technology, SaaS, Software, Travel",SkyThread is an Enterprise Software-as-a-Service (SaaS) company.,Seed,—,"$1,200,000"
Lunasonde,"$600,000","Jul 12, 2019","Cortaro, Arizona, United States, North America","Aerospace, Service Industry",Lunasonde Provides Aviation And Aerospace Component Manufacturing Services.,Seed,—,"$11,600,000"
SkyThread,"$600,000","Mar 1, 2021","Irvine, California, United States, North America","Aerospace, Information Technology, SaaS, Software, Travel",SkyThread is an Enterprise Software-as-a-Service (SaaS) company.,Pre-Seed,—,"$1,200,000"
Airvolute,"€500,000","Oct 1, 2020","Trnava, Trnava, Slovakia (Slovak Republic), Europe","Aerospace, Artificial Intelligence (AI), Drone Management, Drones, Information Technology, National Security, Navigation",Airvolute is a deep tech company providing AI-driven autonomous flight capabilities to businesses and governments.,Pre-Seed,Vision Ventures,"€1,600,000"
"Circle Optics, Inc.","$575,000","Mar 1, 2020","Rochester, New York, United States, North America","GovTech, Hardware, Military, National Security, Virtual Reality, Virtualization","Circle Optics, Inc. provides camera's.",Seed,—,"$5,421,499"
UTVATE,"$572,000","Dec 31, 2019","San Francisco, California, United States, North America","Aerospace, Internet, Telecommunications",UTVATE unlocks satellite internet capacity through user terminal innovation.,Pre-Seed,Fifty Years,"$13,587,000"
Kayhan Space,"$570,000","Jun 15, 2020","Boulder, Colorado, United States, North America",Aerospace,Kayhan Space ensures satellite operators maintain situational awareness of their space assets,Pre-Seed,"Overline, Techstars","$11,270,000"
Picosats,"€500,000","Jan 7, 2022","Trieste, Friuli-Venezia Giulia, Italy, Europe","Aerospace, Communications Infrastructure, Information Technology, Satellite Communication, Software, Telecommunications",Picosats is a developer of telecommunication systems for cubesats.,Seed,—,"€2,680,000"
kraftwerk,"€500,000","Jul 1, 2020","Dresden, Sachsen, Germany, Europe","Aerospace, Automotive, Electric Vehicle, Energy",Kraftwerk is a renewable energy company that develops fuel cells for the powertrain of a wide range of applications.,Convertible Note,—,"€8,766,922"
Aiir Innovations,"€500,000","Aug 29, 2019","Amsterdam, Noord-Holland, The Netherlands, Europe","Aerospace, Software",Aiir Innovations uses AI to improve the accuracy and speed of borescope inspections.,Seed,Mainport Innovation Fund,"€2,600,000"
GATE Space,"$550,000","Sep 16, 2023","San Francisco, California, United States, North America",Aerospace,GATE Space is a developer of a technology designed to enable the next generation of space mobility.,Pre-Seed,Techstars,"$1,752,409"
Hybrid Air Vehicles,"$543,790","Nov 24, 2021","Bedford, Bedfordshire, United Kingdom, Europe","Aerospace, Air Transportation, Information Technology, Manufacturing","Hybrid Air Vehicles manufactures hybrid air vehicles used to provide sustainable, versatile, and efficient air vehicles.",Seed,—,"$17,157,661"
Robotopia,"€480,000","Dec 1, 2021","Vilnius, Vilniaus Apskritis, Lithuania, Europe","Aerospace, Agriculture, Drone Management, Drones, Robotics",Autonomous multi-drone systems for delivery and precision farming services,Angel,—,"€1,480,000"
EXOS Aerospace,"$540,000","Feb 18, 2019","Greenville, Texas, United States, North America","Aerospace, Manufacturing, Space Travel","EXOS is a manufacturing company that specializes in biomedical research, material science, and aerospace engineering.",Seed,—,"$9,886,191"
SYLPHAERO,"€440,000","May 15, 2021","Mérignac, Aquitaine, France, Europe","Aerospace, Electric Vehicle, GreenTech","Fully electric, plasma-based jet engines for clean aerospace propulsion.",Pre-Seed,Région Nouvelle-Aquitaine,"€440,000"
United Aircraft Technologies,"$528,000","Feb 22, 2019","Troy, New York, United States, North America","Aerospace, Software",UAT provides the aerospace and electrical vehicle industry with a solution that decreases weight and improves maintenance through AR and AI.,Pre-Seed,—,"$2,228,000"
Ursa Major,"$525,000","Oct 2, 2020","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Venture - Series Unknown,—,"$271,829,970"
BosonQ Psi,"$525,000","Jul 12, 2022","New York, New York, United States, North America","Aerospace, Automotive, Quantum Computing, Software",Simulation software startup ​leveraging Quantum computing to accelerate advanced simulations for highly-engineered products.,Pre-Seed,3to1 Capital,"$1,707,000"
Gravitilab,"£375,000","Mar 1, 2021","Coltishall, Norfolk, United Kingdom, Europe","Aerospace, Mechanical Engineering, Product Research, Quality Assurance, Test and Measurement","Gravitilab is transforming Research, Testing and Qualification in Space providing access to microgravity other Space environments.",Pre-Seed,—,"£2,225,000"
Nordiq Products AS,"NOK4,583,879","Mar 4, 2022","Oslo, Oslo, Norway, Europe","Health Diagnostics, Information Technology, Medical, Medical Device, Military","On a mission to help first responders services save more lives, making the most user-friendly and reliable monitoring device.",Seed,—,"NOK27,360,096"
